epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,785.13,1.6329,0.81148,0.92773,0.83324,0.77622,0.8304,0.38875,1.71792,0.8827,0.99869,0.000424187,0.000424187,0.000424187
43,802.833,1.64527,0.82724,0.92823,0.8389,0.78601,0.835,0.38948,1.71176,0.84551,0.99083,0.000417119,0.000417119,0.000417119
44,820.757,1.70465,0.83936,0.93606,0.88632,0.77902,0.84836,0.3954,1.71212,0.81544,0.9863,0.00041005,0.00041005,0.00041005
45,838.548,1.67896,0.83963,0.93041,0.88538,0.76701,0.84466,0.39229,1.72472,0.83089,0.99528,0.000402982,0.000402982,0.000402982
46,856.238,1.634,0.83032,0.91425,0.87061,0.79993,0.84023,0.39078,1.72488,0.83441,0.99476,0.000395913,0.000395913,0.000395913
47,873.992,1.67495,0.83188,0.93011,0.86948,0.78042,0.84169,0.38929,1.71946,0.87247,0.9891,0.000388844,0.000388844,0.000388844
48,891.755,1.6157,0.80137,0.91656,0.87801,0.77203,0.84083,0.38127,1.75988,0.8356,0.99953,0.000381776,0.000381776,0.000381776
49,909.626,1.60833,0.80996,0.91975,0.87134,0.7767,0.83888,0.37626,1.77304,0.86254,0.99905,0.000374707,0.000374707,0.000374707
50,927.377,1.61269,0.80901,0.92211,0.84428,0.78741,0.83822,0.39886,1.71904,0.82539,0.99159,0.000367639,0.000367639,0.000367639
51,945.136,1.63364,0.8161,0.92066,0.85523,0.8028,0.83378,0.38754,1.70371,0.82258,0.98371,0.00036057,0.00036057,0.00036057
52,962.898,1.61522,0.78942,0.92139,0.87398,0.79301,0.85643,0.3964,1.74032,0.81738,0.98935,0.000353501,0.000353501,0.000353501
53,980.628,1.63526,0.79945,0.92697,0.876,0.78058,0.83839,0.39088,1.70418,0.80203,0.98578,0.000346433,0.000346433,0.000346433
54,998.536,1.60778,0.79133,0.92259,0.87083,0.78601,0.84584,0.38232,1.74046,0.82708,1.00114,0.000339364,0.000339364,0.000339364
55,1016.35,1.61233,0.80036,0.90785,0.88058,0.79301,0.85554,0.40604,1.71261,0.82779,0.99452,0.000332296,0.000332296,0.000332296
56,1034.26,1.62257,0.78521,0.90781,0.86427,0.79258,0.8411,0.39228,1.73072,0.83695,0.99376,0.000325227,0.000325227,0.000325227
57,1052.1,1.61469,0.7931,0.91663,0.88505,0.77902,0.84736,0.39019,1.70662,0.83613,0.99391,0.000318158,0.000318158,0.000318158
58,1070.01,1.59087,0.77252,0.9114,0.89506,0.78881,0.85029,0.39168,1.71533,0.80071,0.98637,0.00031109,0.00031109,0.00031109
59,1087.72,1.57867,0.78017,0.90614,0.86786,0.80837,0.85099,0.39099,1.72923,0.82691,0.99511,0.000304021,0.000304021,0.000304021
60,1105.42,1.61077,0.77439,0.90452,0.8701,0.8,0.85087,0.40043,1.70985,0.81764,0.99685,0.000296953,0.000296953,0.000296953
